img_name,psnr_c,psnr_r,ssim_c,ssim_r,ssim_avg
00138.png,60.797017,74.727084,0.999477,0.999997,0.999737
00139.png,56.777676,71.812728,0.999556,0.999992,0.999774
00140.png,62.797730,72.887445,0.999837,0.999993,0.999915
00141.png,57.309402,68.824075,0.999717,0.999969,0.999843
00142.png,58.427719,69.034446,0.999493,0.999978,0.999735
00143.png,54.574599,65.720764,0.998825,0.999931,0.999378
00144.png,61.959938,68.320763,0.999710,0.999987,0.999848
00145.png,53.491195,69.958815,0.999548,0.999848,0.999698
00146.png,55.876177,69.791920,0.999786,0.999980,0.999883
00147.png,54.665549,63.993350,0.999478,0.999945,0.999712
00148.png,53.918920,65.169762,0.999362,0.999943,0.999652
00149.png,53.339630,67.532101,0.999520,0.999965,0.999743
00150.png,58.151323,68.236349,0.999680,0.999973,0.999827
00151.png,57.074200,70.984008,0.999428,0.999976,0.999702
00152.png,50.107058,63.303482,0.998247,0.999332,0.998790
00153.png,55.174834,70.139609,0.999290,0.999962,0.999626
00154.png,54.698471,69.683986,0.999662,0.999966,0.999814
00155.png,61.148853,72.530974,0.999837,0.999993,0.999915
00156.png,46.393433,60.989444,0.998204,0.998563,0.998383
00157.png,57.192083,69.514214,0.998910,0.999992,0.999451
00158.png,53.741290,71.483267,0.999066,0.999972,0.999519
00159.png,54.595083,71.521978,0.999508,0.999984,0.999746
00160.png,54.090583,66.595720,0.999766,0.999925,0.999846
00161.png,52.532240,69.052332,0.999610,0.999951,0.999780
00162.png,62.094842,70.952697,0.999852,0.999989,0.999920
00163.png,62.243420,73.872467,0.999815,0.999996,0.999905
00164.png,63.781350,75.044859,0.999914,0.999996,0.999955
00165.png,60.070613,73.026273,0.999788,0.999986,0.999887
00166.png,58.335818,73.840990,0.999582,0.999990,0.999786
00167.png,56.374248,68.674134,0.999599,0.999952,0.999775
00168.png,59.298508,67.445644,0.999776,0.999988,0.999882
00169.png,57.071495,71.538588,0.999830,0.999988,0.999909
00170.png,54.985542,70.893090,0.999381,0.999990,0.999685
00171.png,56.571164,69.258928,0.999622,0.999948,0.999785
00172.png,55.672549,67.047428,0.999749,0.999984,0.999867
00173.png,55.009551,70.979217,0.999698,0.999944,0.999821
00174.png,61.599530,72.237659,0.999692,0.999983,0.999837
00175.png,56.404610,68.386743,0.999688,0.999972,0.999830
00176.png,53.751311,68.909449,0.999671,0.999973,0.999822
00177.png,61.088803,71.188198,0.999487,0.999996,0.999742
00178.png,60.018681,70.396339,0.999793,0.999989,0.999891
00179.png,58.154515,69.134352,0.999687,0.999984,0.999835
00180.png,61.564658,74.945602,0.999870,0.999995,0.999933
00181.png,58.818508,72.922675,0.999899,0.999994,0.999946
00182.png,57.790111,70.680366,0.999470,0.999988,0.999729
00183.png,49.560260,66.143752,0.998354,0.999749,0.999051
00184.png,50.625187,64.006843,0.999213,0.999679,0.999446
00185.png,49.117678,66.334684,0.998922,0.999775,0.999348
00186.png,56.344463,70.807871,0.999512,0.999951,0.999731
00187.png,53.088451,67.363304,0.999521,0.999910,0.999715
00188.png,54.802289,66.151623,0.999193,0.999953,0.999573
00189.png,55.979718,71.275886,0.999310,0.999983,0.999646
00190.png,53.687071,67.670562,0.999371,0.999964,0.999668
00191.png,53.628402,68.060996,0.999072,0.999919,0.999495
00192.png,55.293233,70.632210,0.999668,0.999974,0.999821
average,56.317678,69.608121,0.999431,0.999862,0.999646
